movieTitle,releaseYear,productionCompany
Othello,1965,National Theatre of Great Britain
The Flight of the Phoenix,1965,An Associates and Aldrich Company Production
The Slender Thread,1965,Athene Productions
The Spy Who Came In from the Cold,1965,Salem Films Limited
A Rage to Live,1965,The Mirisch Corporation
Let My People Go: The Story of Israel,1965,David L. Wolper Productions
Mural on Our Street,1965,Henry Street Settlement
Point of View,1965,Vision Associates Productions
Shenandoah,1965,Universal Pictures
The Battle of the Bulge... The Brave Rifles,1965,Mascott Productions
The Forth Road Bridge,1965,Random Productions
The Pawnbroker,1964,Landau Company
The Train,1964,Les Productions Artistes Associés
The Train,1964,Les Films Ariane
Those Magnificent Men in Their Flying Machines,1965,Twentieth Century-Fox Productions Ltd
Time Piece,1965,Muppets
Time Piece,1965,Inc.
What's New Pussycat?,1965,Famous Artists Productions
What's New Pussycat?,1965,Famartists Productions S.A.
A Man for All Seasons,1966,Highland Films
Grand Prix,1966,Joel Productions
Grand Prix,1966,John Frankenheimer Productions
A Man and a Woman,1966,Les Films 13
Born Free,1966,Shepperton Studios
The Fortune Cookie,1966,The Mirisch Corporation
The Fortune Cookie,1966,Jalem Productions
A Herb Alpert and the Tijuana Brass Double Feature,1966,Hubley Studios
A Year Toward Tomorrow,1966,Sun Dial Films
The War Game,1966,BBC
The Sand Pebbles,1966,A Robert Wise Production
Hawaii,1966,The Mirisch Corporation
Alfie,1966,Sheldrake Films
Georgy Girl,1966,Everglades Productions
"The Russians Are Coming, the Russians Are Coming",1966,The Mirisch Corporation
Gambit,1966,Universal Pictures
The Gospel According to St. Matthew,1964,Arco FilmLux Compagnie Cinématographique
The Professionals,1966,Pax Enterprises
Blowup,1966,Metro-Goldwyn-Mayer
Blowup,1966,Carlo Ponti Productions
Blowup,1966,Bridge Films
Is Paris Burning?,1966,Seven Arts Productions
Is Paris Burning?,1966,Marianne Productions
Is Paris Burning?,1966,Transcontinental Films
Juliet of the Spirits,1965,Federiz
Juliet of the Spirits,1965,Francoriz Production
Mister Buddwing,1966,Metro-Goldwyn-Mayer
The Oscar,1966,Greene-Rouse Productions
An American Dream,1966,William Conrad Productions
Helicopter Canada,1966,National Film Board of Canada
Mandragola,1965,Arco Film
Return of the Seven,1966,Mirisch Productions
Seconds,1966,Joel Productions
Seconds,1966,John Frankenheimer Productions
Seconds,1966,Gibraltar Productions
The Battle of Algiers,1966,Igor FilmCasbah Film
The Bible: In the Beginning...,1966,Dino de Laurentiis Cinematografica
The Bible: In the Beginning...,1966,Seven Arts Productions
The Drag,1966,National Film Board of Canada
The Face of a Genius,1966,WBZ-TV
The Really Big Family,1966,David L. Wolper Productions
You're a Big Boy Now,1966,Seven Arts Productions
In the Heat of the Night,1967,The Mirisch Corporation
Camelot,1967,Warner Bros.-Seven Arts
Bonnie and Clyde,1967,Warner Bros. Pictures
Doctor Dolittle,1967,APJAC Productions
The Graduate,1967,Lawrence Turman Productions
Thoroughly Modern Millie,1967,Ross Hunter Productions
Cool Hand Luke,1967,Jalem Productions
The Dirty Dozen,1967,Kenneth Hyman
Closely Watched Trains,1966,Barrandov Studios
The Box,1967,Murakami-Wolf Productions
The Redwoods,1967,King Screen Productions
In Cold Blood,1967,Pax Enterprises
In Cold Blood,1967,Inc.
A Time for Burning,1966,Quest ProductionsAvernus Productions
Banning,1967,Universal Pictures
Barefoot in the Park,1967,Hal Wallis Productions
Barefoot in the Park,1967,Nancy Enterprises Inc.
Beach Red,1967,Theodora Productions
Beach Red,1967,Inc.
Divorce American Style,1967,Tandem Productions
Far from the Madding Crowd,1967,Metro-Goldwyn-Mayer
Festival,1967,Patchke Productions
Monument to the Dream,1967,National Park Service
Paddle to the Sea,1966,National Film Board of Canada
Portrait of Chieko,1967,Shochiku
See You at the Pillar,1967,Associated British Pathé
The Happiest Millionaire,1967,Walt Disney Productions
The Jungle Book,1967,Walt Disney Productions
The War Is Over,1966,Sofracima
The Whisperers,1967,Lopert Pictures Corporation
Tobruk,1967,Gibraltar Productions
Two for the Road,1967,Stanley Donen Films
Ulysses,1967,Laser Film CorporationUlysses Film Production
Valley of the Dolls,1967,Red Lion Productions
Wait Until Dark,1967,Warner Bros.
What on Earth!,1966,National Film Board of Canada
While I Run This Race,1967,Sun Dial Films
Oliver!,1968,Romulus Films
The Lion in Winter,1968,Haworth Productions
Romeo and Juliet,1968,Dino De Laurentiis Cinematografica
Funny Girl,1968,Rastar
2001: A Space Odyssey,1968,Stanley Kubrick Productions
Bullitt,1968,Solar Productions
The Thomas Crown Affair,1968,The Mirisch Corporation
The Thomas Crown Affair,1968,Simkoe
The Thomas Crown Affair,1968,Solar Productions
Charly,1968,ABC Pictures
Journey into Self,1968,Western Behavioral Sciences Institute
Journey into Self,1968,San Diego State University
Robert Kennedy Remembered,1968,Guggenheim ProductionsNational General Pictures
Why Man Creates,1968,Kaiser Aluminum
Why Man Creates,1968,Saul Bass
Winnie the Pooh and the Blustery Day,1968,Walt Disney Productions
"Rachel, Rachel",1968,Kayos Productions
Finian's Rainbow,1968,Warner Bros.-Seven Arts
Ice Station Zebra,1968,Filmways
Planet of the Apes,1968,APJAC Productions
A Way Out of the Wilderness,1968,John Sutherland Productions
Chitty Chitty Bang Bang,1968,Warfield Productions
Chitty Chitty Bang Bang,1968,Dramatic Features
For Love of Ivy,1968,Palomar Pictures
Other Voices,1970,DHS Films
Stolen Kisses,1968,Les Films du Carrosse
Stolen Kisses,1968,Les Productions Artistes Associés
The Boys of Paul Street,1969,GroskopfMAFILM Stúdió 1
The Girl with the Pistol,1968,Documento Film
The House That Jack Built,1967,National Film Board
The Revolving Door,1968,Vision Associates
The Young Girls of Rochefort,1967,Madeleine Films
The Young Girls of Rochefort,1967,Parc Film
Midnight Cowboy,1969,Jerome Hellman Productions
Midnight Cowboy,1969,Mist Entertainment
Butch Cassidy and the Sundance Kid,1969,Campanile Productions
Butch Cassidy and the Sundance Kid,1969,Newman-ForemanCompany
"Hello, Dolly!",1969,Chenault Productions
Z,1969,Office National pour le Commerce et l'Industrie Cinématographique
Z,1969,Reggane Films
Z,1969,Valoria Films
Anne of the Thousand Days,1969,Hal Wallis Productions
"They Shoot Horses, Don't They?",1969,ABC Pictures
"They Shoot Horses, Don't They?",1969,Palomar Pictures
Cactus Flower,1969,Frankovich Productions
It's Tough to Be a Bird,1969,Walt Disney Productions
Bob & Carol & Ted & Alice,1969,Frankovich Productions
"Gaily, Gaily",1969,The Mirisch Corporation
Easy Rider,1969,The Pando Company
Easy Rider,1969,Raybert Productions
"Goodbye, Mr. Chips",1969,APJAC Productions
The Happy Ending,1969,Pax Enterprises
The Reivers,1969,Cinema Center Films
The Reivers,1969,Solar Productions
The Secret of Santa Vittoria,1969,The Stanley Kramer Corporation
The Sterile Cuckoo,1969,Boardwalk Productions
The Wild Bunch,1969,Warner Bros.-Seven Arts
Battle of Neretva,1969,Jadran Film
Battle of Neretva,1969,Commonwealth United Entertainment
Blake,1969,National Film Board of Canada
"Goodbye, Columbus",1969,Willow Tree
Jenny Is a Good Thing,1969,A.C.I. Productions
"Krakatoa, East of Java",1968,Security Pictures
Last Summer,1969,Alsid Productions
My Night at Maud's,1969,Les Films du Losange
Paint Your Wagon,1969,Alan Jay Lerner Productions
Paint Your Wagon,1969,The Malpaso Company
The Brothers Karamazov,1969,Mosfilm
The Damned,1969,PraesidensPegaso CinematograficaItal-Noleggio CinematograficoEichberg-Film
The Wolf Men,1969,MGM
Ryan's Daughter,1970,Faraway Productions
Airport,1970,Ross Hunter Productions
Love Story,1970,Paramount Pictures
M*A*S*H,1970,Aspen Productions
M*A*S*H,1970,Ingo Preminger Productions
Tora! Tora! Tora!,1970,Toei Company
Women in Love,1969,Brandywine Productions
Lovers and Other Strangers,1970,ABC Pictures
Cromwell,1970,Irving Allen Productions
Investigation of a Citizen Above Suspicion,1970,Vera Film
Let It Be,1970,Apple Films
Let It Be,1970,ABKCO Industries
The Resurrection of Broncho Billy,1970,University of Southern California
Five Easy Pieces,1970,BBS Productions
Scrooge,1970,Cinema Center Films
Darling Lili,1970,Geoffrey Productions
The Great White Hope,1970,Lawrence Turman Films
A Boy Named Charlie Brown,1969,Cinema Center Films
A Boy Named Charlie Brown,1969,Lee Mendelson/Bill Melendez Productions
A Boy Named Charlie Brown,1969,United Feature Syndicate
Diary of a Mad Housewife,1970,Frank Perry Films Inc.
Fellini Satyricon,1969,Produzioni Europee Associati
I Girasoli,1970,Compagnia Cinematografica Champion (as C. C. Champion S.p.A.)
I Girasoli,1970,Les Films Concordia
I Girasoli,1970,Mosfilm
Joe,1970,Cannon Productions
King: A Filmed Record... Montgomery to Memphis,1970,Commonwealth United Entertainment
Little Big Man,1970,Cinema Center Films
Madron,1970,G.B.C.-Edric-Isracine Productions
Say Goodbye,1971,Wolper Productions
The Baby Maker,1970,Robert Wise Productions
The Gifts,1970,Richter Productions
The Hawaiians,1970,The Mirisch Production Company
The Landlord,1970,Mirisch Company
Time Is Running Out,1970,Gesellschaft für bildende Filme
Tristana,1970,Talía Film
Tristana,1970,Época Film
Tristana,1970,Selenia Cinematografica
Tristana,1970,Les Films Corona
The French Connection,1971,Philip D'Antoni Productions
The French Connection,1971,Schine-Moore Productions
Fiddler on the Roof,1971,The Mirisch Company
The Last Picture Show,1971,BBS Productions
Nicholas and Alexandra,1971,Horizon Pictures
Sentinels of Silence,1971,Producciones Concord
Bedknobs and Broomsticks,1971,Walt Disney Productions
Summer of '42,1971,Mulligan-Roth Productions
Klute,1971,Gus Productions
Shaft,1971,Shaft Productions
The Garden of the Finzi-Continis,1970,CCC-Filmkunst
The Crunch Bird,1971,Maxwell-Petok-Petrovich ProductionsRegency Films
The Hellstrom Chronicle,1971,Wolper Pictures
A Clockwork Orange,1971,Polaris Productions
A Clockwork Orange,1971,Hawk Films
Kotch,1971,Jalem Productions
Kotch,1971,ABC Pictures
Sunday Bloody Sunday,1971,Vectia
Sometimes a Great Notion,1971,Newman-Foreman Company
Tchaikovsky,1970,Mosfilm
The Andromeda Strain,1971,Universal Pictures
Alaska Wilderness Lake,1971,Alan Landsburg Productions
Art Is...,1971,Associated Councils of the Arts
Carnal Knowledge,1971,Icarus Productions
Death in Venice,1971,Alfa Cinematografica
Death in Venice,1971,PECF
Diamonds Are Forever,1971,Eon Productions
Dodes'ka-den,1970,Toho
Evolution,1971,National Film Board of Canada
Ra,1972,Sveriges Radio
Somebody Waiting,1971,UCSF School of Nursing
Straw Dogs,1971,ABC Pictures
Straw Dogs,1971,Talent Associates
Straw Dogs,1971,Amerbroco Films
The Boy Friend,1971,Russflix
The Conformist,1970,Mars Film Produzione
The Conformist,1970,Marianne Productions
The Conformist,1970,Maran Film
The Emigrants,1971,Svensk Filmindustri
The Go-Between,1971,EMI Films
The Sorrow and the Pity,1969,Norddeutscher Rundfunk
The Sorrow and the Pity,1969,Société suisse de radiodiffusion
What's the Matter with Helen?,1971,Filmways Pictures
When Dinosaurs Ruled the Earth,1970,Hammer Films
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1971,Cinema Center Films
Willy Wonka & the Chocolate Factory,1971,Wolper Pictures
Willy Wonka & the Chocolate Factory,1971,The Quaker Oats Company
The Godfather,1972,Paramount Pictures
The Godfather,1972,Alfran Productions
Cabaret,1972,ABC Pictures Corp.
The Poseidon Adventure,1972,Kent Productions
The Poseidon Adventure,1972,Ltd.
Butterflies Are Free,1972,Frankovich Productions
The Discreet Charm of the Bourgeoisie,1972,Greenwich Film Productions
Limelight,1952,Celebrated Productions
Lady Sings the Blues,1972,Motown Productions
Sleuth,1972,Palomar Pictures International
Sounder,1972,Radnitz
Sounder,1972,Mattel
Deliverance,1972,Elmer Enterprises
The Heartbreak Kid,1972,Palomar Pictures
Ben,1972,Bing Crosby Productions
Fat City,1972,Rastar
Hundertwasser's Rainy Day,1972,Peter Schamoni FilmproduktionArgos Films
Images,1972,Hemdale Film Corporation
K-Z,1972,Nexus Film
The Life and Times of Judge Roy Bean,1972,First Artists
Man of La Mancha,1972,Produzioni Europee Associati (PEA)
Murmur of the Heart,1971,Nouvelles Éditions de Films
Murmur of the Heart,1971,Marianne Productions
Murmur of the Heart,1971,Vides Cinematografica
Murmur of the Heart,1971,Franz Seitz Filmproduktion
Napoleon and Samantha,1972,Walt Disney Productions
Selling Out,1972,Unit Productions
The Dawns Here Are Quiet,1972,Gorky Film Studio
The Hot Rock,1972,Landers-Roberts Inc.
The Little Ark,1972,Cinema Center Films
The Stepmother,1972,Crown International Pictures
The Tide of Traffic,1972,Greenpark Productions
Tup Tup,1972,Zagreb Film
The Sting,1973,Universal Pictures
The Sting,1973,The Zanuck/Brown Company
The Way We Were,1973,Rastar
A Touch of Class,1973,Brut Productions
Cries and Whispers,1972,Svensk Filmindustri
Paper Moon,1973,The Directors Company
Paper Moon,1973,Saticoy Productions
Save the Tiger,1973,Filmways
Save the Tiger,1973,Jalem Productions
Day for Night,1973,Les Films du Carrosse
Day for Night,1973,PECF
Day for Night,1973,PIC
Princeton: A Search for Answers,1973,Krainin/Sage Productions
American Graffiti,1973,Lucasfilm Ltd.
American Graffiti,1973,The Coppola Company
Cinderella Liberty,1973,Sanford Productions
The Last Detail,1973,Acrobat Productions
The Last Detail,1973,Bright-Persky Associates
Tom Sawyer,1973,Reader's Digest
Last Tango in Paris,1972,Produzioni Europee Associati (PEA)
Last Tango in Paris,1972,Les Productions Artistes Associés
Serpico,1973,Artists Entertainments Complex
Serpico,1973,Inc.
Serpico,1973,Produzion De Laurentiis International Manufacturing Company S.P.A.
"Summer Wishes, Winter Dreams",1973,Rastar
Always a New Beginning,1974,Goodell Motion Pictures
Bang the Drum Slowly,1973,ANJA FilmsBTDS Partnership
Four Stones for Kanemitsu,1973,Tamarind Institute
Journey to the Outer Limits,1973,Wolper Productions
Life Times Nine,1973,Insight Productions
Live and Let Die,1973,Eon Productions
Ludwig,1973,Mega Film
Ludwig,1973,Cinétel
Ludwig,1973,Divina Film
Ludwig,1973,Dieter Geissler Filmproduktion
Ludwig,1973,RAI
Paisti ag obair,1973,Gael Linn
Papillon,1973,Les Films Corona
Robin Hood,1973,Walt Disney Productions
The Day of the Jackal,1973,Warwick Film Productions
The Day of the Jackal,1973,Universal Productions France
The Pedestrian,1973,Alfa FilmBraunBraun Entertainment GroupFranz Seitz FilmproduktionMFG-Film
Turkish Delight,1973,Rob Houwer Film Holland
The Godfather Part II,1974,Paramount Pictures
The Godfather Part II,1974,The Coppola Company
The Towering Inferno,1974,20th Century-Fox
The Towering Inferno,1974,Warner Bros.
The Towering Inferno,1974,Irwin Allen Productions
The Great Gatsby,1974,Newdon Productions
Chinatown,1974,Long Road Productions
Chinatown,1974,Robert Evans Company
Murder on the Orient Express,1974,EMI Films
Earthquake,1974,The Filmakers Group
Amarcord,1973,FC Produzioni
Amarcord,1973,PECF
Closed Mondays,1974,Lighthouse Productions
Hearts and Minds,1974,BBS Productions
One-Eyed Men Are Kings,1974,C.A.P.A.C.
Lenny,1974,Marvin Worth Productions
Blazing Saddles,1974,Crossbow Productions
The Conversation,1974,The Directors Company
The Little Prince,1974,Stanley Donen Films
Young Frankenstein,1974,Gruskoff/Venture Films
Young Frankenstein,1974,Crossbow Productions
Young Frankenstein,1974,Inc.
Young Frankenstein,1974,Jouer Limited
Antonia: A Portrait of the Woman,1974,Rocky Mountain Films
City Out of Wilderness,1974,United States Capitol Historical Society
Claudine,1974,Third World Cinema Corporation
Daisy Miller,1974,The Directors Company
Gold,1974,Hemdale Film Distribution Ltd.
John Muir's High Sierra,1974,Dewitt Jones Productions
John Muir's High Sierra,1974,Yosemite Institute
John Muir's High Sierra,1974,National Park Service
"Lacombe, Lucien",1974,Paramount Pictures
Phantom of the Paradise,1974,Harbor Productions
The 81st Blow,1974,Ghetto Fighters' House
The Apprenticeship of Duddy Kravitz,1974,Canadian Film Development Corporation
The Apprenticeship of Duddy Kravitz,1974,Famous Players
The Apprenticeship of Duddy Kravitz,1974,Astral-Bellevue-Pathé
The Deluge,1974,Zespoły Filmowe
The Family That Dwelt Apart,1973,National Film Board of Canada
The Island at the Top of the World,1974,Walt Disney Productions
The Longest Yard,1974,Albert S. Ruddy Productions
Thunderbolt and Lightfoot,1974,The Malpaso Company
Winnie the Pooh and Tigger Too,1974,Walt Disney Productions
One Flew Over the Cuckoo's Nest,1975,Fantasy Films
Barry Lyndon,1975,Hawk Films
Barry Lyndon,1975,Peregrine Productions
Jaws,1975,Zanuck/Brown Company
Jaws,1975,Universal Pictures
Dog Day Afternoon,1975,Artists Entertainment Complex
Nashville,1975,ABC Motion Pictures
Shampoo,1975,Rubeeker Films
The Sunshine Boys,1975,Rastar
The Sunshine Boys,1975,Metro-Goldwyn-Mayer
Angel and Big Joe,1975,Learning Corporation of America
Dersu Uzala,1975,Daiei Film
Dersu Uzala,1975,Mosfilm
Great,1975,Grantstern Films
The Man Who Skied Down Everest,1975,Crawley Films
Funny Lady,1975,Rastar
The Man Who Would Be King,1975,Allied Artists
The Man Who Would Be King,1975,Columbia Pictures
The Man Who Would Be King,1975,Devon Company
The Man Who Would Be King,1975,Persky-Bright Associates
Bite the Bullet,1975,Persky-Bright ProductionsVista
The Day of the Locust,1975,Long Road Productions
The Wind and the Lion,1975,Metro-Goldwyn-Mayer
Tommy,1975,Robert Stigwood Organization Ltd.
Tommy,1975,Hemdale Film Corporation
Arthur and Lillie,1975,Stanford University
"Birds Do It, Bees Do It",1974,Wolper Productions
Conquest of Light,1975,Louis Marcus Productions
"Farewell, My Lovely",1975,ITC Entertainment
Fighting for Our Lives,1975,National Farm Workers Service Center
"Give 'em Hell, Harry!",1975,Permut Presentations
Hedda,1975,Royal Shakespeare Company
Hester Street,1975,Midwest Films
Lies My Father Told Me,1975,Canadian Film Development Corporation
Mahogany,1975,Motown Productions
Probes in Space,1975,Graphic Films
Probes in Space,1975,Reuben H. Fleet Space Theater
Sandakan No. 8,1974,Toho
The Incredible Machine,1975,Wolper Productions
The Incredible Machine,1975,National Geographic Society
The Magic Flute,1975,Sveriges Radio
The Magic Flute,1975,TV2
The Magic Flute,1975,AB Svensk Filmindustri
The Magic Flute,1975,Svenska Filminstituet
The Other Half of the Sky: A China Memoir,1975,Shirley MacLaine Productions
The Other Side of the Mountain,1975,Filmways Pictures
The Story of Adele H.,1975,Les Films du Carrosse
Three Days of the Condor,1975,Dino De Laurentiis Corporation
Whiffs,1975,Brut Productions
Whistling Smith,1975,National Film Board of Canada
Rocky,1976,Chartoff-Winkler Productions
Network,1976,Metro-Goldwyn-Mayer
All the President's Men,1976,Wildwood Enterprises
A Star is Born,1976,First Artists
A Star is Born,1976,Barwood Films
Fellini's Casanova,1976,PEA
The Omen,1976,20th Century-Fox
The Omen,1976,Mace Neufeld Productions
Black and White in Color,1976,FR3
"Harlan County, USA",1976,Cabin Creek Films
In the Region of Ice,1976,Center for Advanced Film Studies
Leisure,1976,Film Australia
Number Our Days,1976,KCET
Seven Beauties,1975,Medusa Distribuzione
Taxi Driver,1976,Bill/Phillips Productions
Taxi Driver,1976,Italo-Judeo Productions
Cousin Cousine,1975,Films Pomereu
Cousin Cousine,1975,Gaumont
Voyage of the Damned,1976,ITC Entertainment
Carrie,1976,Red Bank Films
King Kong,1976,Dino De Laurentiis Corporation
Logan's Run,1976,Metro-Goldwyn-Mayer
The Seven-Per-Cent Solution,1976,Alex Winitsky/Arlene Sellers Productions
The Seven-Per-Cent Solution,1976,Herbert Ross Productions
Bugsy Malone,1976,Goodtimes Enterprises
Bugsy Malone,1976,Robert Stigwood Organisation
Half a House,1976,First American Films
Jacob the Liar,1974,DEFA
Jacob the Liar,1974,DFF
Jacob the Liar,1974,Barrandov Studios
Marathon Man,1976,Robert Evans-Sidney Beckerman Productions
Obsession,1976,Yellowbird Productions
Off the Edge,1976,Pentacle Films
Silver Streak,1976,Frank Yablans Presentations
Silver Streak,1976,Miller-Milkis Productions
The End of the Road,1976,Pelican Films
The Last Tycoon,1976,Academy Pictures Corporation
The Last Tycoon,1976,Gelderse Maatschappij N.V.
The Outlaw Josey Wales,1976,The Malpaso Company
The Passover Plot,1976,Golan-Globus
The Pink Panther Strikes Again,1976,Amjo Productions
The Street,1976,National Film Board of Canada
Two-Minute Warning,1976,Filmways
Volcano: An Inquiry into the Life and Death of Malcolm Lowry,1976,National Film Board of Canada
Annie Hall,1977,A Jack Rollins and Charles H. Joffe Production
Star Wars,1977,Lucasfilm Ltd.
Julia,1977,20th Century Fox
Close Encounters of the Third Kind,1977,Columbia Pictures
Close Encounters of the Third Kind,1977,EMI Films
The Goodbye Girl,1977,Metro-Goldwyn-Mayer
The Goodbye Girl,1977,Rastar
A Little Night Music,1977,Sascha-Verleih
A Little Night Music,1977,S&T-Film Berlin
You Light Up My Life,1977,Mondial International
The Turning Point,1977,Hera Productions
Equus,1977,Winkast Film Productions
The Spy Who Loved Me,1977,Eon Productions
A Special Day,1977,Compagnia Cinematografica ChampionCanafox Films
Airport '77,1977,Universal Pictures
Pete's Dragon,1977,Walt Disney Productions
That Obscure Object of Desire,1977,Greenwich Film ProductionsLes Films GalaxieInCine
The Slipper and the Rose,1976,David Paradine Productions
"Agueda Martinez: Our People, Our Country",1977,Moctesuma Esparza Productions
First Edition,1977,A. S. Abell Company
High Grass Circus,1976,National Film Board of Canada
I Never Promised You a Rose Garden,1977,Palomar Pictures
I Never Promised You a Rose Garden,1977,Fadsin Cinema Associates
Iphigenia,1977,Greek Film Center
"Mohammad, Messenger of God",1976,Filmco International Productions Inc.
"Of Time, Tombs and Treasures",1977,Exxon
Saturday Night Fever,1977,Robert Stigwood Organization
Smokey and the Bandit,1977,Rastar
Sorcerer,1977,Film Properties International N.V.
The Absent-Minded Waiter,1977,Aspen Film Society
The Deep,1977,Casablanca FilmWorks
The Deep,1977,EMI Films
The Late Show,1977,Lion's Gate Films
The Other Side of Midnight,1977,Frank Yablans Presentations
The Rescuers,1977,Walt Disney Productions
The Deer Hunter,1978,EMI
Coming Home,1978,Jerome Hellman ProductionsJayne Productions Inc.
Midnight Express,1978,Casablanca FilmWorks
California Suite,1978,Rastar
Death on the Nile,1978,Mersham Productions
Death on the Nile,1978,EMI Films
Scared Straight!,1978,Golden West Television
Special Delivery,1978,National Film Board of Canada
Thank God It's Friday,1978,Casablanca FilmWorks
Thank God It's Friday,1978,Motown Productions
Interiors,1978,Jack Rollins–Charles H. Joffe Productions
"Same Time, Next Year",1978,The Mirisch Company
The Wiz,1978,Motown Productions
Superman,1978,Dovemead Ltd.
Superman,1978,International Film Production
The Boys from Brazil,1978,ITC Films
Autumn Sonata,1978,ITC Entertainment
Caravans,1978,FIDCI
Grease,1978,Allan Carr Enterprises
Grease,1978,Stigwood Group
Hungarians,1978,Mafilm
Mysterious Castles of Clay,1978,Survival Anglia
Squires of San Quentin,1978,J. Gary Mitchell Film Company
The Glass Cell,1978,Bayerischer Rundfunk
The Glass Cell,1978,Roxy Film
The Magic of Lassie,1978,Lassie Productions
White Bim Black Ear,1977,Gorky Film Studio
With Babies and Banners: Story of the Women's Emergency Brigade,1979,Women's Labor History Film Project
Kramer vs. Kramer,1979,Stanley Jaffe Productions
All That Jazz,1979,20th Century-Fox
All That Jazz,1979,Columbia Pictures
Apocalypse Now,1979,Omni Zoetrope
A Little Romance,1979,Orion Pictures
Alien,1979,20th Century-Fox
Alien,1979,Brandywine Productions
Being There,1979,Lorimar Productions
Every Child,1979,National Film Board of Canada
The Tin Drum,1979,Franz Seitz Filmproduktion
The Tin Drum,1979,Bioskop Film
The Tin Drum,1979,Argos Films
The Tin Drum,1979,Jadran Film
The China Syndrome,1979,IPC Films
The China Syndrome,1979,Major Studio Partners
1941,1979,A-Team Productions
La Cage aux Folles,1978,Les Productions Artistes Associés
La Cage aux Folles,1978,Da.Ma. Produzione
Star Trek: The Motion Picture,1979,Paramount Pictures
10,1979,Orion Pictures
The Black Hole,1979,Walt Disney Productions
The Black Stallion,1979,American Zoetrope
The Muppet Movie,1979,ITC Entertainment
The Muppet Movie,1979,Henson Associates
A Simple Story,1978,France 3 Cinéma
A Simple Story,1978,Rialto Film
Agatha,1979,Casablanca FilmWorks
Agatha,1979,First Artists
Bravery in the Field,1979,National Film Board of Canada
Butch and Sundance: The Early Days,1979,William Goldman
Chapter Two,1979,Rastar
Dae,1979,Vardar Film
Going the Distance,1979,National Film Board of Canada
Koryo Celadon,1979,Korean Film Unit
Meteor,1979,Shaw Brothers
Moonraker,1979,Eon Productions
Moonraker,1979,Les Productions Artistes Associés
The Amityville Horror,1979,Cinema 77
The Amityville Horror,1979,Professional Films
The Amityville Horror,1979,Inc.
The Champ,1979,Metro-Goldwyn-Mayer
The Electric Horseman,1979,Universal Pictures
The Electric Horseman,1979,Columbia Pictures
The Electric Horseman,1979,Wildwood Enterprises
The Electric Horseman,1979,Rastar Films
The Europeans,1979,Merchant Ivory Productions
The War at Home,1979,Wisconsin Educational Television Network
Ordinary People,1980,Wildwood Enterprises
Ordinary People,1980,Inc
Tess,1979,Renn ProductionsTimothy Burrill ProductionsSFP
Fame,1980,Metro-Goldwyn-Mayer
Star Wars Episode V: The Empire Strikes Back,1980,Lucasfilm Ltd.
From Mao to Mozart: Isaac Stern in China,1979,Hopewell Foundation
Karl Hess: Toward Liberty,1980,Boston University College of Communication
Moscow Does Not Believe in Tears,1980,Mosfilm
The Elephant Man,1980,Brooksfilms
The Stunt Man,1980,Melvin Simon Productions
Altered States,1980,Warner Bros.
Kagemusha,1980,Kurosawa Production
Kagemusha,1980,Toho
The Competition,1980,Rastar Films
The Great Santini,1979,Orion Pictures
The Great Santini,1979,Bing Crosby Productions
Agee,1980,James Agee Film Project
All Nothing,1978,Société Radio-Canada
Breaker Morant,1980,South Australian Film Corporation
Breaker Morant,1980,Australian Film Commission
Breaker Morant,1980,The Seven Network
Breaker Morant,1980,Pact Productions
Don't Mess with Bill,1980,Insight Productions
Gloria,1980,Columbia Pictures
History of the World in Three Minutes Flat,1980,Michael Mills Productions
Honeysuckle Rose,1980,Major Studio Partners
Inside Moves,1980,Goodmark Productions
It's the Same World,1980,Dick Young Productions
Luther Metke at 94,1979,UCLA
My Brilliant Career,1979,The New South Wales Film Corporation
Nine to Five,1980,IPC Films
Somewhere in Time,1980,Rastar
The Blue Lagoon,1980,Columbia Pictures
The Day After Trinity,1981,KTEH
The Eruption of Mount St. Helens!,1980,Graphic Films
The Formula,1980,Metro-Goldwyn-Mayer
The Last Metro,1980,TF1 Films Production
Tribute,1980,Tiberius FilmsThe Turman-Foster Company
Chariots of Fire,1981,Allied Stars Ltd
Chariots of Fire,1981,Enigma Productions
Raiders of the Lost Ark,1981,Lucasfilm Ltd.
Reds,1981,Barclays Mercantile Industrial Finance
Reds,1981,JRS Productions
On Golden Pond,1981,ITC Films
Arthur,1981,Orion Pictures
An American Werewolf in London,1981,PolyGram Pictures
An American Werewolf in London,1981,Lycanthrope Films Limited
Crac,1981,Canadian Broadcasting Corporation
Genocide,1981,Moriah Films
Mephisto,1981,MafilmObjektív FilmManfred Durniok FilmproduktionHessischer RundfunkORF
Mephisto,1981,Mafilm
Mephisto,1981,Objektív Film
Mephisto,1981,Manfred Durniok Filmproduktion
Mephisto,1981,Hessischer Rundfunk
Mephisto,1981,ORF
Mephisto,1981,Mafilm
Mephisto,1981,Objektív Film
Mephisto,1981,Manfred Durniok Filmproduktion
Mephisto,1981,Hessischer Rundfunk
Mephisto,1981,ORF
Violet,1981,Center for Advanced Film Studies
Atlantic City,1980,Famous Players Ltd.
Atlantic City,1980,Canadian Film Development Corporation
Absence of Malice,1981,Mirage Enterprises
Only When I Laugh,1981,Rastar
Pennies from Heaven,1981,Metro-Goldwyn-Mayer
Dragonslayer,1981,Paramount Pictures
Dragonslayer,1981,Walt Disney Productions
