movieTitle,releaseYear,productionCompany
Bride of Frankenstein,1935,Universal Pictures
Broadway Hostess,1935,First National Pictures
Escape Me Never,1935,British & Dominions
Folies Bergère de Paris,1935,Twentieth Century Pictures
Go into Your Dance,1935,First National Pictures
Private Worlds,1935,Paramount Pictures
Roberta,1935,RKO Radio Pictures
She,1935,RKO Radio Pictures
Thanks a Million,1935,Twentieth Century Pictures
The Big Broadcast of 1936,1935,Paramount Pictures
The Gay Deception,1935,Fox Film Corporation
Who Killed Cock Robin?,1935,Walt Disney Productions
The Great Ziegfeld,1936,Metro-Goldwyn-Mayer
Anthony Adverse,1936,Warner Bros. Pictures
Dodsworth,1936,Samuel Goldwyn Productions
San Francisco,1936,Metro-Goldwyn-Mayer
Mr. Deeds Goes to Town,1936,Columbia Pictures Corp. of Calif. LTD.
The Charge of the Light Brigade,1936,Warner Bros. Pictures
Come and Get It,1936,Samuel Goldwyn Productions
Swing Time,1936,RKO Radio Pictures
The Country Cousin,1936,Walt Disney Productions
My Man Godfrey,1936,Universal Pictures
Romeo and Juliet,1936,Metro-Goldwyn-Mayer
Three Smart Girls,1936,Universal Pictures
A Tale of Two Cities,1935,Metro-Goldwyn-Mayer
Born to Dance,1936,Metro-Goldwyn-Mayer
Lloyd's of London,1936,20th Century Fox
The Garden of Allah,1936,Selznick International Pictures
After the Thin Man,1936,Metro-Goldwyn-Mayer
Cain and Mabel,1936,Cosmopolitan Pictures
Dancing Pirate,1936,Pioneer Pictures
General Spanky,1936,Hal Roach Studios
Gold Diggers of 1937,1936,Warner Bros.
Libeled Lady,1936,Metro-Goldwyn-Mayer
The Magnificent Brute,1936,Universal Pictures
Pennies from Heaven,1936,Emanuel Cohen Productions
Popeye the Sailor Meets Sindbad the Sailor,1936,Fleischer Studios
"Sing, Baby, Sing",1936,Twentieth Century Fox
Suzy,1936,Metro-Goldwyn-Mayer
That Girl from Paris,1936,RKO Radio Pictures
The Last of the Mohicans,1936,Edward Small Productions
The Old Mill Pond,1936,Harman-Ising Productions
The Texas Rangers,1936,Paramount Pictures
These Three,1936,Samuel Goldwyn Productions
The Trail of the Lonesome Pine,1936,Walter Wanger Productions
Lost Horizon,1937,Columbia Pictures
In Old Chicago,1938,Darryl F. Zanuck Productions
The Good Earth,1937,Metro-Goldwyn-Mayer
A Star Is Born,1937,Selznick International Pictures
The Awful Truth,1937,Columbia Pictures
One Hundred Men and a Girl,1937,Universal Pictures
Captains Courageous,1937,Metro-Goldwyn-Mayer
The Hurricane,1937,Samuel Goldwyn Productions
A Damsel in Distress,1937,RKO Radio Pictures
Waikiki Wedding,1937,Paramount Pictures
The Old Mill,1937,Walt Disney Productions
The Private Life of the Gannets,1934,London Film Productions
Dead End,1937,Samuel Goldwyn Productions
Stage Door,1937,RKO Radio Pictures
Souls at Sea,1937,Paramount Pictures
Conquest,1937,Metro-Goldwyn-Mayer
Maytime,1937,Metro-Goldwyn-Mayer
Night Must Fall,1937,Metro-Goldwyn-Mayer
Stella Dallas,1937,Samuel Goldwyn Productions
The Prisoner of Zenda,1937,Selznick International Pictures
Topper,1937,Hal Roach Studios
Walter Wanger's Vogues of 1938,1937,Walter Wanger Productions
Ali Baba Goes to Town,1937,20th Century Fox
Black Legion,1937,Warner Bros.
Camille,1936,Metro-Goldwyn-Mayer
Educated Fish,1937,Fleischer Studios
Every Day's a Holiday,1937,Major Pictures
Hitting a New High,1937,RKO Radio Pictures
Make a Wish,1937,Principal Productions
Manhattan Merry-Go-Round,1937,Republic Pictures
Mr. Dodd Takes the Air,1937,Warner Bros.
Portia on Trial,1937,Republic Pictures
Quality Street,1937,RKO Radio Pictures
"Ready, Willing, and Able",1937,Warner Bros.
Shall We Dance,1937,RKO Radio Pictures
Snow White and the Seven Dwarfs,1937,Walt Disney Productions
Something to Sing About,1937,Zion Meyers Productions
The Girl Said No,1937,Andrew L. Stone Productions
Thin Ice,1937,Twentieth Century-Fox
Way Out West,1937,Hal Roach Studios
Wells Fargo,1937,Paramount Pictures
Wings over Honolulu,1937,Universal Pictures
You're a Sweetheart,1937,Universal Pictures
You Can't Take It with You,1938,Columbia Pictures
The Adventures of Robin Hood,1938,Warner Bros. Pictures
Boys Town,1938,Metro-Goldwyn-Mayer
Jezebel,1938,Warner Bros.
The Cowboy and the Lady,1938,Samuel Goldwyn Productions
Ferdinand the Bull,1938,Walt Disney Productions
Kentucky,1938,20th Century Fox
Spawn of the North,1938,Paramount Pictures
