firstName,lastName,roleType
Debbie,Reynolds,Singer
Debbie,Reynolds,Dancer
Robert,Thompson,Screenwriter
Javier,Navarrete,Composer
Robbie,Robertson,Musician
Robbie,Robertson,Songwriter
Robbie,Robertson,Singer
Thomas,Whitlock,Songwriter
Anthony,McCarten,Screenwriter
Anthony,McCarten,Novelist
Anthony,McCarten,Playwright
Anthony,McCarten,Journalist
Anthony,McCarten,Director
Anthony,McCarten,Producer
Ruth,Myers,Costume Designer
Michael,Standish,Production Designer
Jóhann,Jóhannsson,Composer
Jóhann,Jóhannsson,Producer
Jóhann,Jóhannsson,Director
Jerome,Chen,Director
Shane,Mahan,Creature Design
Shane,Mahan,Makeup Artist
Tamara,Jenkins,Director
Tamara,Jenkins,Screenwriter
Tamara,Jenkins,Actress
Harvey,Weinstein,Producer
Chester,Schaeffer,Editor
Keith,Carradine,Actor
Tom,Rolf,Editor
Christophe,Barratier,Director
Christophe,Barratier,Screenwriter
Christophe,Barratier,Producer
Herbie,Hancock,Musician
Herbie,Hancock,Composer
Herbie,Hancock,Record Producer
Herbie,Hancock,Actor
Mikael,Håfström,Director
Mikael,Håfström,Screenwriter
Con,Conrad,Songwriter
Pat,Morita,Actor
Pat,Morita,Comedian
Nick,Vallelonga,Actor
Nick,Vallelonga,Filmmaker
Marianne,Farley,Actress
Marianne,Farley,Director
Pasqualino,Santis,Cinematographer
Charles,Clarke,Cinematographer
Steven,Spielberg,Director
Steven,Spielberg,Producer
Steven,Spielberg,Screenwriter
Harold,Stine,Cinematographer
Jason,Baird,Makeup Artist
Tristan,Myles,Visual Effects Artist
Viola,Lawrence,Editor
Edith,Head,Costume Designer
Aymeric,Devoldère,Sound Engineer
Geraldine,Page,Actress
Anders,Walter,Director
Anders,Walter,Producer
Vilmos,Zsigmond,Cinematographer
Siân,Grigg,Makeup Artist
Edward,Anhalt,Screenwriter
Edward,Anhalt,Producer
Edward,Anhalt,Documentary Filmmaker
Cameron,Crowe,Journalist
Cameron,Crowe,Author
Cameron,Crowe,Writer
Cameron,Crowe,Producer
Cameron,Crowe,Director
Cameron,Crowe,Actor
Cameron,Crowe,Lyricist
Cameron,Crowe,Playwright
Masamichi,Satoh,Cinematographer
Luchino,Visconti,Director
Luchino,Visconti,Screenwriter
Luchino,Visconti,Director
Luchino,Visconti,Opera Director
John,Farrow,Director
John,Farrow,Producer
John,Farrow,Screenwriter
Alan,Ball,Screenwriter
Alan,Ball,Director
Alan,Ball,Producer
James,Caan,Actor
Tom,Waits,Musician
Tom,Waits,Composer
Tom,Waits,Songwriter
Tom,Waits,Actor
Brad,Zoern,Sound Editor
Bob,Laden,Makeup Artist
Darrell,Silvera,Set Decorator
Brandon,deWilde,Actor
Sydney,Boehm,Screenwriter
Pato,Pierart,Producer
Pato,Pierart,Editor
Pato,Pierart,Animator
Jerry,Wald,Screenwriter
Richard,Widmark,Actor
Richard,Widmark,Producer
David,Sonenberg,Music Manager
David,Sonenberg,Producer
George,Amy,Editor
Walter,Hannemann,Editor
John,Walker,Producer
John,Walker,Actor
Mike,Smith,Makeup Artist
Paul,Sylbert,Production Designer
Paul,Sylbert,Art Director
Paul,Sylbert,Set Designer
Nicki,Ledermann,Makeup Artist
Sam,Mintz,Screenwriter
Peter,Hedges,Novelist
Peter,Hedges,Playwright
Peter,Hedges,Screenwriter
Peter,Hedges,Director
Peter,Hedges,Producer
Albert,Lamorisse,Writer
Albert,Lamorisse,Screenwriter
Albert,Lamorisse,Director
Albert,Lamorisse,Producer
Albert,Lamorisse,Game Designer
John,Wright,Editor
Danny,Michael,Sound Engineer
Maxence,Dussère,Sound Editor
Bob,Mackie,Fashion Designer
Bob,Mackie,Costumier
Pamela,Martin,Editor
Danford,Greene,Editor
Frederic,Aspiras,Hairstylist
Judith,Ehrlich,Filmmaker
Steve,Preeg,Visual Effects Artist
Peter,Davis,Filmmaker
Liz,Garbus,Documentary Filmmaker
Jason,Quenneville,Record Producer
Jason,Quenneville,Songwriter
Liza,Minnelli,Actress
Liza,Minnelli,Singer
Liza,Minnelli,Dancer
Alan,Barrett,Costume Designer
Frank,Darabont,Screenwriter
Frank,Darabont,Director
Frank,Darabont,Producer
Kevin,Walsh,Producer
Pablo,Helman,Visual Effects Supervisor
Savan,Kotecha,Songwriter
Savan,Kotecha,Record Producer
Savan,Kotecha,Vocal Coach
Dalia,Colli,Makeup Artist
John,Astin,Actor
John,Astin,Director
Bryan,Cranston,Actor
Bryan,Cranston,Filmmaker
Eunice,Macaulay,Animator
John,Dilworth,Animator
John,Dilworth,Actor
John,Dilworth,Writer
John,Dilworth,Director
John,Dilworth,Storyboard Artist
John,Dilworth,Producer
Joseph,Patel,Producer
Joseph,Patel,Director
Joseph,Patel,Journalist
Erich,Korngold,Composer
Erich,Korngold,Conductor
Erich,Korngold,Pianist
Alberto,Iglesias,Composer
Charles,Wilborn,Sound Engineer
E.,Frye,Director
E.,Frye,Screenwriter
Tia,Lessin,Director
Tia,Lessin,Producer
Dušan,Vukotić,Director
Dušan,Vukotić,Screenwriter
Kristie,Krieger,Producer
Gianfranco,Rosi,Documentary Filmmaker
Karel,Černý,Art Director
Karel,Černý,Production Designer
Daniel,Petrie Jr.,Producer
Laurence,Olivier,Actor
Laurence,Olivier,Director
Laurence,Olivier,Producer
Sean,Walker,Visual Effects Artist
David,Wyman,Sound Engineer
Randy,Stone,Producer
Randy,Stone,Actor
Randy,Stone,Casting Director
Ron,Kovic,Activist
Ron,Kovic,Author
Ron,Kovic,Marine
Bernard,Herzbrun,Art Director
Rachael,Horovitz,Producer
John,Knoll,Visual Effects Supervisor
Oswald,Morris,Cinematographer
Michael,Mills,Makeup Artist
Lee,Orloff,Sound Engineer
John,Detlie,Art Director
Pippa,Harris,Producer
Harold,Faltermeyer,Musician
Harold,Faltermeyer,Record Producer
Harold,Faltermeyer,Songwriter
Harold,Faltermeyer,Composer
Neal,Scanlan,Visual Effects Artist
Judy,Garland,Actress
Judy,Garland,Singer
Judy,Garland,Vaudevillian
Rick,Carter,Production Designer
Rick,Carter,Art Director
Ron,Yerxa,Producer
Ralph,Brinton,Art Director
Paul,Guilhaume,Cinematographer
Rod,Steiger,Actor
Helen,Rose,Costume Designer
Harry,Carey Sr.,Actor
Alice,Rohrwacher,Director
Alice,Rohrwacher,Screenwriter
Alice,Rohrwacher,Editor
Ken,Muggleston,Set Decorator
Marlee,Matlin,Actress
Marlee,Matlin,Activist
Marlee,Matlin,Author
Scott,Cutler,Music Executive
Scott,Cutler,Record Producer
Scott,Cutler,Songwriter
Scott,Cutler,Musician
John,Ellis,Visual Effects Artist
Michael,Jacobs,Writer
Michael,Jacobs,Producer
Cher,Sarkisian,Singer
Cher,Sarkisian,Actress
Carol,Kane,Actress
Carol,Kane,Comedian
Mason,Novick,Producer
Gavin,Lambert,Screenwriter
Gavin,Lambert,Novelist
Gavin,Lambert,Biographer
Sigourney,Weaver,Actress
Elizabeth,Vasarhelyi,Director
Elizabeth,Vasarhelyi,Producer
Michel,Hazanavicius,Director
John,Anderson,Assistant Director
John,Anderson,Set Decorator
John,Anderson,Director
Scott,Neustadter,Producer
Scott,Neustadter,Screenwriter
Melissa,McCarthy,Actress
Melissa,McCarthy,Screenwriter
Melissa,McCarthy,Producer
Felicity,Huffman,Actress
Robert,Benton,Director
Robert,Benton,Screenwriter
Robert,Benton,Producer
Norman,Gimbel,Lyricist
Norman,Gimbel,Songwriter
Bill,Pohlad,Producer
Bill,Pohlad,Director
Amanda,Micheli,Director
Amanda,Micheli,Cinematographer
Burton,Miller,Costume Designer
Dean,Stockwell,Actor
David,Friendly,Producer
Lisa,Churgin,Editor
Peter,Falk,Actor
Peter,Falk,Singer
Peter,Falk,Author
Roy,Sickner,Actor
Roy,Sickner,Screenwriter
Roy,Sickner,Stuntman
Ray,June,Cinematographer
Rodrigo,Sorogoyen,Director
Jonathan,Bates,Sound Editor
Michael,Shamberg,Producer
Marc,Shaiman,Composer
Marc,Shaiman,Lyricist
Aleksandr,Petrov,Animator
Aleksandr,Petrov,Filmmaker
Grigory,Chukhray,Director
Grigory,Chukhray,Screenwriter
River,Phoenix,Actor
Pino,Quartullo,Actor
Pino,Quartullo,Director
Pino,Quartullo,Screenwriter
Pino,Quartullo,Playwright
David,Fincher,Director
Jack,Maxsted,Art Director
Isaac,Hayes,Singer
Isaac,Hayes,Musician
Isaac,Hayes,Songwriter
Isaac,Hayes,Composer
Isaac,Hayes,Actor
Isaac,Hayes,Activist
Ian,Voigt,Sound Engineer
Adolph,Green,Playwright
Adolph,Green,Songwriter
Nazrin,Choudhury,Screenwriter
Nazrin,Choudhury,Actress
Nazrin,Choudhury,Author
Nazrin,Choudhury,Playwright
Nazrin,Choudhury,Producer
William,Joyce,Author
William,Joyce,Illustrator
William,Joyce,Filmmaker
Niv,Adiri,Sound Engineer
Dan,Hennah,Production Designer
Caroline,Link,Director
Peter,Matz,Musician
Peter,Matz,Composer
Peter,Matz,Arranger
Peter,Matz,Conductor
Ray,Beckett,Sound Engineer
Suzie,Davies,Production Designer
Kim,Stanley,Actress
Myron,Nettinga,Sound Engineer
James,Harrison,Supervising Sound Editor
Vittorio,Storaro,Cinematographer
Lawrence,Weingarten,Producer
Tom,Schulman,Screenwriter
Tom,Schulman,Director
Todd,Phillips,Director
Todd,Phillips,Producer
Todd,Phillips,Screenwriter
Anne,Hathaway,Actress
Buddy,Baker,Composer
Timothy,Hutton,Actor
Timothy,Hutton,Director
Homer,Tasker,Sound Engineer
William,Hedgcock,Sound Engineer
Robert,Jacobs,Screenwriter
Nicolás,Giacobone,Writer
Eli,Noyes,Animator
Andrea,Berloff,Filmmaker
Julie,Anderson,Documentary Maker
Boris,Juraga,Art Director
Susan,Morse,Editor
Juan,Campanella,Filmmaker
John,Dall,Actor
Jason,Cohen,Filmmaker
John,Seitz,Cinematographer
Ross,Lowell,Photographer
Ross,Lowell,Cinematographer
Ross,Lowell,Lighting Designer
Ross,Lowell,Author
Adrienne,Fazan,Editor
Anton,Furst,Production Designer
Alex,Weldon,Visual Effects Artist
Jamie,Donoughue,Director
Jamie,Donoughue,Producer
Jamie,Donoughue,Writer
Andrew,Mondshein,Editor
Mark,Isham,Musician
Mark,Isham,Composer
Osnat,Shurer,Producer
Brandon,Proctor,Sound Engineer
Julian,Howarth,Actor
Julian,Howarth,Sound Mixer
Barbara,Kopple,Director
Mike,Eames,Visual Effects Artist
Gu,Changwei,Cinematographer
Gu,Changwei,Director
Kazu,Hiro,Portrait Sculptor
Kazu,Hiro,Makeup Artist
Anna,Thomas,Screenwriter
Anna,Thomas,Producer
Anna,Thomas,Cookbook Author
William,Wellman,Director
William,Wellman,Producer
William,Wellman,Writer
William,Wellman,Actor
William,Wellman,Pilot
Chris,Clark,Singer
David,Stewart,Visual Effects Artist
Eric,Singer,Screenwriter
Keith,Wester,Sound Engineer
Grace,Gregory,Set Decorator
Charles,Walters,Director
Charles,Walters,Choreographer
Ben,Sombogaart,Director
Peter,Werner,Director
Peter,Werner,Director
Mike,Medavoy,Producer
Anna,Lynch-Robinson,Set Decorator
Anna,Lynch-Robinson,Art Director
William,Nicholson,Screenwriter
William,Nicholson,Playwright
William,Nicholson,Novelist
Ang,Lee,Director
Ang,Lee,Producer
Ang,Lee,Screenwriter
Basel,Adra,Journalist
Irene,Cara,Singer
Irene,Cara,Actress
Todd,Field,Filmmaker
Todd,Field,Actor
Steve,Coogan,Actor
Steve,Coogan,Comedian
Steve,Coogan,Screenwriter
Steve,Coogan,Producer
Ugo,Pirro,Screenwriter
Ugo,Pirro,Novelist
Charlie,Chaplin,Actor
Charlie,Chaplin,Comedian
Charlie,Chaplin,Director
Charlie,Chaplin,Composer
Charlie,Chaplin,Screenwriter
Charlie,Chaplin,Producer
Charlie,Chaplin,Editor
Ann-Margret,Olsson,Actress
Ann-Margret,Olsson,Singer
Ann-Margret,Olsson,Dancer
Christopher,Wilkinson,Screenwriter
Christopher,Wilkinson,Producer
Christopher,Wilkinson,Director
Abby,Mann,Screenwriter
Abby,Mann,Producer
Jarin,Blaschke,Cinematographer
Dale,Hennesy,Production Designer
Dale,Hennesy,Art Director
Pablo,Larraín,Filmmaker
Gloria,Katz,Screenwriter
Gloria,Katz,Producer
Kristine,Samuelson,Documentary Filmmaker
Glenn,Farr,Editor
Milton,Krasner,Cinematographer
Lesley,Vanderwalt,Makeup Artist
Sidney,Wagner,Cinematographer
Tim,McGovern,Visual Effects Artist
Ron,Nyswaner,Director
Ron,Nyswaner,Writer
Brian,Henry,Actor
Stephen,Frears,Director
Stephen,Frears,Producer
Simone,Coco,Visual Effects Artist
David,DePatie,Producer
Markus,Imhoof,Director
Kenneth,Reid,Art Director
Nat,Sanders,Editor
Oliver,Stone,Director
Oliver,Stone,Screenwriter
Oliver,Stone,Producer
Oliver,Stone,Author
Andrew,Buckland,Editor
Laura,Checkoway,Director
Laura,Checkoway,Producer
Laura,Checkoway,Editor
Laura,Checkoway,Journalist
Laura,Checkoway,Screenwriter
Rodney,Burke,Special Effects Artist
Charles,Novi,Art Director
Cedric,Nicolas-Troyan,Director
John,Ridley,Screenwriter
Gianni,Amelio,Director
Christopher,Boyes,Sound Engineer
Jeff,Groth,Editor
Anne,Seibel,Art Director
Stuart,Reiss,Set Decorator
Robert,Evans,Producer
Robert,Evans,Studio Executive
Robert,Evans,Actor
Madeline,Fontaine,Costume Designer
Nora,Twomey,Producer
Nora,Twomey,Director
Nora,Twomey,Animator
Virginia,Kellogg,Screenwriter
Frank,Langella,Actor
Jane,Alexander,Actress
Paul,Driessen,Director
Paul,Driessen,Writer
Paul,Driessen,Animator
Pamela,Cornell,Set Decorator
Agnès,Jaoui,Actress
Agnès,Jaoui,Screenwriter
Agnès,Jaoui,Director
Agnès,Jaoui,Singer
John,Hayes,Filmmaker
John,Hayes,Actor
Walter,Strenge,Cinematographer
Vernon,Walker,Special Effects Artist
Vernon,Walker,Cinematographer
Peter,Morgan,Screenwriter
Peter,Morgan,Playwright
Danny,Taylor,Visual Effects Artist
Emir,Kusturica,Director
Emir,Kusturica,Screenwriter
Emir,Kusturica,Musician
Hume,Cronyn,Actor
Hume,Cronyn,Writer
Shelley,Winters,Actress
Mack,Sennett,Producer
Mack,Sennett,Actor
Mack,Sennett,Director
Mack,Sennett,Studio Head
Franco,Brusati,Screenwriter
Franco,Brusati,Director
Franco,Brusati,Playwright
Dan,Scanlon,Director
Dan,Scanlon,Screenwriter
Dan,Scanlon,Storyboard Artist
Dan,Scanlon,Animator
Bing,Crosby,Singer
Bing,Crosby,Actor
Bing,Crosby,Producer
Bing,Crosby,Radio Personality
Susanne,Bier,Director
Susanne,Bier,Writer
Susanne,Bier,Producer
Lyle,Reifsnider,Set Decorator
John,Crouse,Special Effects Artist
Christine,Choy,Filmmaker
Christine,Choy,Director
Christine,Choy,Documentarian
Christine,Choy,Journalist
Christine,Choy,Activist
Robert,Youngson,Producer
Robert,Youngson,Director
Robert,Youngson,Screenwriter
Michael,Fink,Visual Effects Artist
Terrence,Howard,Actor
Nick,Adams,Actor
Nick,Adams,Screenwriter
Helen,Hayes,Actress
Janek,Sirrs,Visual Effects Artist
Joe,Walker,Editor
Ralph,Rainger,Composer
Glen,Gauthier,Sound Mixer
William,Mueller,Sound Engineer
Susan,Seidelman,Director
Susan,Seidelman,Producer
Susan,Seidelman,Writer
Kevin,Haney,Makeup Artist
Joan,Crawford,Actress
Harley,Miller,Set Decorator
LaKeith,Stanfield,Actor
Andra,Day,Singer
Andra,Day,Songwriter
Andra,Day,Actress
Louis,Gruenberg,Pianist
Louis,Gruenberg,Composer
Howard,Bristol,Set Decorator
Ted,Koehler,Lyricist
David,Franzoni,Screenwriter
David,Franzoni,Producer
Mayes,Rubeo,Costume Designer
Bruno,Cesari,Art Director
Kenny,Ascher,Jazz Pianist
Kenny,Ascher,Composer
Kenny,Ascher,Arranger
Kenny,Ascher,Studio Musician
Hayao,Miyazaki,Animator
Hayao,Miyazaki,Filmmaker
Hayao,Miyazaki,Screenwriter
Hayao,Miyazaki,Author
Hayao,Miyazaki,Manga Artist
Guntis,Sics,Sound Engineer
Jon,Alpert,Journalist
Jon,Alpert,Director
Kay,Georgiou,Makeup Artist
Guy,Davidi,Filmmaker
Clarence,Greene,Screenwriter
Clarence,Greene,Producer
Ciarán,Hinds,Actor
Scott,Kennedy,Documentary Director
Scott,Kennedy,Writer
Scott,Kennedy,Producer
Scott,Kennedy,Cameraman
Scott,Kennedy,Editor
Giorgio,Moroder,Composer
Giorgio,Moroder,Record Producer
Norman,McLaren,Animator
Norman,McLaren,Director
Norman,McLaren,Producer
Al,Nelson,Sound Engineer
Alan,Marshall,Producer
Anouk,Aimée,Actress
Phil,Miller,Writer
Phil,Miller,Animators
Phil,Miller,Voice Actor
Phil,Miller,Director
Phil,Miller,Producers
Abderrahmane,Sissako,Director
Abderrahmane,Sissako,Screenwriter
Abderrahmane,Sissako,Producer
Chris,Tashima,Actor
Chris,Tashima,Director
Chris,Tashima,Screenwriter
Chris,Tashima,Set Designer
Kahane,Cooperman,Producer
Kahane,Cooperman,Director
Mike,Diem,Director
Mike,Diem,Writer
Rachel,Winter,Producer
Curly,Thirlwell,Sound Engineer
Gail,Dolgin,Filmmaker
Helena,Carter,Actress
John,Corigliano,Composer
Markéta,Irglová,Singer
Markéta,Irglová,Actress
Ben,Maddow,Screenwriter
Ben,Maddow,Director
Stephen,Mirrione,Editor
Leslie,Odom Jr.,Actor
Leslie,Odom Jr.,Singer
Leslie,Odom Jr.,Songwriter
Maurice,Jarre,Composer
Maurice,Jarre,Conductor
Mikey,Madison,Actress
Fernando,Trueba,Producer
Fernando,Trueba,Director
Fernando,Trueba,Screenwriter
Santiago,Mitre,Director
Santiago,Mitre,Screenwriter
Claude,Berri,Producer
Claude,Berri,Actor
Claude,Berri,Screenwriter
Claude,Berri,Director
Mordecai,Richler,Writer
Hugh,Robertson,Editor
Robert,Snyder,Filmmaker
Kaja,Fehr,Editor
Efthimis,Filippou,Screenwriter
Efthimis,Filippou,Playwright
Efthimis,Filippou,Copywriter
Denys,Arcand,Director
Denys,Arcand,Screenwriter
Denys,Arcand,Producer
Edward,Colman,Cinematographer
R.,Sherriff,Screenwriter
Kate,Davis,Director
Kate,Davis,Producer
Kate,Davis,Editor
Valerie,Perrine,Actress
Mark,Sanger,Editor
Janet,Perlman,Animator
Janet,Perlman,Author
Helen,Mirren,Actress
Joe,Letteri,Visual Effects Supervisor
Jack,Poplin,Art Director
John,Hawkes,Actor
F.,Abraham,Actor
Giuseppe,Rotunno,Cinematographer
Laura,Poitras,Director
Laura,Poitras,Producer
Allison,Moorer,Singer
Tems,Openiyi,Singer
Tems,Openiyi,Songwriter
Tems,Openiyi,Record Producer
Henry,Hathaway,Director
Henry,Hathaway,Producer
James,Marsh,Director
James,Marsh,Author
Aaron,Rosenberg,Producer
Alec,Guinness,Actor
Massimo,Parrini,Costume Designer
Harry,Rapf,Producer
Harry,Rapf,Director
Alberto,Colombo,Composer
Arthur,Harari,Director
Arthur,Harari,Screenwriter
Arthur,Harari,Actor
Dave,Elsey,Make-Up Effects
Dave,Elsey,Creature Effects
Dave,Elsey,Animatronics
Jacqueline,Durran,Costume Designer
Scott,Smith,Author
Scott,Smith,Screenwriter
Scott,Smith,Executive Producer
Richard,Linklater,Director
Richard,Linklater,Producer
Richard,Linklater,Screenwriter
Wolf,Koenig,Director
Wolf,Koenig,Cinematographer
Wolf,Koenig,Producer
Wolf,Koenig,Animator
Allen,Daviau,Cinematographer
Celeste,Waite,Singer
Celeste,Waite,Songwriter
Donald,Sylvester,Sound Editor
Lisa,Bruce,Producer
William,Tuntke,Art Director
Eric,Ambler,Author
Leslie,Dilley,Production Designer
Leslie,Dilley,Art Director
Jenny,Beavan,Costume Designer
Lars,Ginzel,Sound Engineer
Dave,Grusin,Musician
Dave,Grusin,Composer
Dave,Grusin,Producer
Sessue,Hayakawa,Actor
Irwin,Shaw,Playwright
Irwin,Shaw,Screenwriter
Irwin,Shaw,Novelist
Spike,Lee,Director
Spike,Lee,Producer
Spike,Lee,Writer
Spike,Lee,Actor
Robert,Dornhelm,Director
Gile,Steele,Costume Designer
Roy,Walker,Production Designer
Frank,Tarloff,Screenwriter
Frank,Santillo,Editor
Fred,Hole,Art Director
Mario,Gori,Producer
Stacey,Morris,Hairdresser
Barney,Burman,Makeup Artist
Alfred,Junge,Art Director
Stephen,Bishop,Singer
Stephen,Bishop,Songwriter
Sarah,Nuth,Hairstylist
Sarah,Nuth,Makeup Artist
Pierre,Étaix,Actor
Pierre,Étaix,Director
Scott,Frank,Director
Scott,Frank,Producer
Scott,Frank,Screenwriter
Scott,Frank,Author
Luca,Guadagnino,Director
Luca,Guadagnino,Producer
Luca,Guadagnino,Screenwriter
Darius,Marder,Director
Darius,Marder,Editor
