firstName,lastName,movieTitle,releaseYear,categoryName,iteration,winner
Luis,Buñuel,Tristana,1970,Best International Feature Film,43rd,no
Vittorio,De Sica,The Garden of the Finzi Continis,1971,Best International Feature Film,44th,yes
Akira,Kurosawa,Dodes'ka-den,1971,Best International Feature Film,44th,no
Jan,Troell,The Emigrants,1971,Best International Feature Film,44th,no
Ephraim,Kishon,The Policeman,1971,Best International Feature Film,44th,no
Igor,Talankin,Tchaikovsky,1971,Best International Feature Film,44th,no
Luis,Buñuel,The Discreet Charm of the Bourgeoisie,1972,Best International Feature Film,45th,yes
Stanislav,Rostotsky,The Dawns Here Are Quiet,1972,Best International Feature Film,45th,no
Moshé,Mizrahi,I Love You Rosa,1972,Best International Feature Film,45th,no
Jaime,de Armiñán,My Dearest Señorita,1972,Best International Feature Film,45th,no
Jan,Troell,The New Land,1972,Best International Feature Film,45th,no
François,Truffaut,Day for Night,1973,Best International Feature Film,46th,yes
Moshé,Mizrahi,The House on Chelouche Street,1973,Best International Feature Film,46th,no
Claude,Goretta,L'Invitation,1973,Best International Feature Film,46th,no
Maximilian,Schell,The Pedestrian,1973,Best International Feature Film,46th,no
Paul,Verhoeven,Turkish Delight,1973,Best International Feature Film,46th,no
Federico,Fellini,Amarcord,1974,Best International Feature Film,47th,yes
Károly,Makk,Cats' Play,1974,Best International Feature Film,47th,no
Jerzy,Hoffman,The Deluge,1974,Best International Feature Film,47th,no
Louis,Malle,"Lacombe, Lucien",1974,Best International Feature Film,47th,no
Sergio,Renán,The Truce,1974,Best International Feature Film,47th,no
Akira,Kurosawa,Dersu Uzala,1975,Best International Feature Film,48th,yes
Miguel,Littín,Letters from Marusia,1975,Best International Feature Film,48th,no
Andrzej,Wajda,The Promised Land,1975,Best International Feature Film,48th,no
Kei,Kumai,Sandakan No. 8,1975,Best International Feature Film,48th,no
Dino,Risi,Scent of a Woman,1975,Best International Feature Film,48th,no
Jean-Jacques,Annaud,Black and White in Color,1976,Best International Feature Film,49th,yes
Jean-Charles,Tacchella,Cousin Cousine,1976,Best International Feature Film,49th,no
Frank,Beyer,Jacob the Liar,1976,Best International Feature Film,49th,no
Jerzy,Antczak,Nights and Days,1976,Best International Feature Film,49th,no
Lina,Wertmüller,Seven Beauties,1976,Best International Feature Film,49th,no
Moshé,Mizrahi,Madame Rosa,1977,Best International Feature Film,50th,yes
Michael,Cacoyannis,Iphigenia,1977,Best International Feature Film,50th,no
Menahem,Golan,Operation Thunderbolt,1977,Best International Feature Film,50th,no
Ettore,Scola,A Special Day,1977,Best International Feature Film,50th,no
Luis,Buñuel,That Obscure Object of Desire,1977,Best International Feature Film,50th,no
Bertrand,Blier,Get Out Your Handkerchiefs,1978,Best International Feature Film,51st,yes
Hans,W. Geißendörfer,The Glass Cell,1978,Best International Feature Film,51st,no
Zoltán,Fábri,Hungarians,1978,Best International Feature Film,51st,no
Mario,Monicelli,Viva Italia!,1978,Best International Feature Film,51st,no
Dino,Risi,Viva Italia!,1978,Best International Feature Film,51st,no
Ettore,Scola,Viva Italia!,1978,Best International Feature Film,51st,no
Stanislav,Rostotsky,White Bim Black Ear,1978,Best International Feature Film,51st,no
Volker,Schlöndorff,The Tin Drum,1979,Best International Feature Film,52nd,yes
Andrzej,Wajda,The Maids of Wilko,1979,Best International Feature Film,52nd,no
Carlos,Saura,Mama Turns 100,1979,Best International Feature Film,52nd,no
Claude,Sautet,A Simple Story,1979,Best International Feature Film,52nd,no
Franco,Brusati,To Forget Venice,1979,Best International Feature Film,52nd,no
Vladimir,Menshov,Moscow Does Not Believe in Tears,1980,Best International Feature Film,53rd,yes
István,Szabó,Confidence,1980,Best International Feature Film,53rd,no
Akira,Kurosawa,Kagemusha (The Shadow Warrior),1980,Best International Feature Film,53rd,no
François,Truffaut,The Last Metro,1980,Best International Feature Film,53rd,no
Jaime,de Armiñán,The Nest,1980,Best International Feature Film,53rd,no
István,Szabó,Mephisto,1981,Best International Feature Film,54th,yes
Markus,Imhoof,The Boat Is Full,1981,Best International Feature Film,54th,no
Andrzej,Wajda,Man of Iron,1981,Best International Feature Film,54th,no
Kōhei,Oguri,Muddy River,1981,Best International Feature Film,54th,no
Francesco,Rosi,Three Brothers,1981,Best International Feature Film,54th,no
José,Luis Garci,To Begin Again,1982,Best International Feature Film,55th,yes
Miguel,Littín,Alsino and the Condor,1982,Best International Feature Film,55th,no
Bertrand,Tavernier,Coup de Torchon ('Clean Slate'),1982,Best International Feature Film,55th,no
Jan,Troell,Flight of the Eagle,1982,Best International Feature Film,55th,no
Yuli,Raizman,Private Life,1982,Best International Feature Film,55th,no
Ingmar,Bergman,Fanny and Alexander,1983,Best International Feature Film,56th,yes
Carlos,Saura,Carmen,1983,Best International Feature Film,56th,no
Diane,Kurys,Entre Nous,1983,Best International Feature Film,56th,no
Imre,Gyöngyössy,The Revolt of Job,1983,Best International Feature Film,56th,no
Barna,Kabay,The Revolt of Job,1983,Best International Feature Film,56th,no
Ettore,Scola,Le Bal,1983,Best International Feature Film,56th,no
