firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Elia,Kazan,Gentleman's Agreement,1947,Best Directing,20th,yes
George,Cukor,A Double Life,1947,Best Directing,20th,no
Edward,Dmytryk,Crossfire,1947,Best Directing,20th,no
Henry,Koster,The Bishop's Wife,1947,Best Directing,20th,no
David,Lean,Great Expectations,1947,Best Directing,20th,no
John,Huston,The Treasure of the Sierra Madre,1948,Best Directing,21st,yes
Anatole,Litvak,The Snake Pit,1948,Best Directing,21st,no
Jean,Negulesco,Johnny Belinda,1948,Best Directing,21st,no
Laurence,Olivier,Hamlet,1948,Best Directing,21st,no
Fred,Zinnemann,The Search,1948,Best Directing,21st,no
Joseph,L. Mankiewicz,A Letter to Three Wives,1949,Best Directing,22nd,yes
Carol,Reed,The Fallen Idol,1949,Best Directing,22nd,no
Robert,Rossen,All the King's Men,1949,Best Directing,22nd,no
William,A. Wellman,Battleground,1949,Best Directing,22nd,no
William,Wyler,The Heiress,1949,Best Directing,22nd,no
Joseph,L. Mankiewicz,All About Eve,1950,Best Directing,23rd,yes
George,Cukor,Born Yesterday,1950,Best Directing,23rd,no
John,Huston,The Asphalt Jungle,1950,Best Directing,23rd,no
Carol,Reed,The Third Man,1950,Best Directing,23rd,no
Billy,Wilder,Sunset Boulevard,1950,Best Directing,23rd,no
George,Stevens,A Place in the Sun,1951,Best Directing,24th,yes
John,Huston,The African Queen,1951,Best Directing,24th,no
Elia,Kazan,A Streetcar Named Desire,1951,Best Directing,24th,no
Vincente,Minnelli,An American in Paris,1951,Best Directing,24th,no
William,Wyler,Detective Story,1951,Best Directing,24th,no
John,Ford,The Quiet Man,1952,Best Directing,25th,yes
Cecil,B. DeMille,The Greatest Show on Earth,1952,Best Directing,25th,no
John,Huston,Moulin Rouge,1952,Best Directing,25th,no
Joseph,L. Mankiewicz,5 Fingers,1952,Best Directing,25th,no
Fred,Zinnemann,High Noon,1952,Best Directing,25th,no
Fred,Zinnemann,From Here to Eternity,1953,Best Directing,26th,yes
George,Stevens,Shane,1953,Best Directing,26th,no
Charles,Walters,Lili,1953,Best Directing,26th,no
Billy,Wilder,Stalag 17,1953,Best Directing,26th,no
William,Wyler,Roman Holiday,1953,Best Directing,26th,no
Elia,Kazan,On the Waterfront,1954,Best Directing,27th,yes
Alfred,Hitchcock,Rear Window,1954,Best Directing,27th,no
George,Seaton,The Country Girl,1954,Best Directing,27th,no
William,A. Wellman,The High and the Mighty,1954,Best Directing,27th,no
Billy,Wilder,Sabrina,1954,Best Directing,27th,no
Delbert,Mann,Marty,1955,Best Directing,28th,yes
Elia,Kazan,East of Eden,1955,Best Directing,28th,no
David,Lean,Summertime,1955,Best Directing,28th,no
Joshua,Logan,Picnic,1955,Best Directing,28th,no
John,Sturges,Bad Day at Black Rock,1955,Best Directing,28th,no
George,Stevens,Giant,1956,Best Directing,29th,yes
Michael,Anderson,Around the World in 80 Days,1956,Best Directing,29th,no
Walter,Lang,The King and I,1956,Best Directing,29th,no
King,Vidor,War and Peace,1956,Best Directing,29th,no
William,Wyler,Friendly Persuasion,1956,Best Directing,29th,no
David,Lean,The Bridge on the River Kwai,1957,Best Directing,30th,yes
Joshua,Logan,Sayonara,1957,Best Directing,30th,no
Sidney,Lumet,12 Angry Men,1957,Best Directing,30th,no
Mark,Robson,Peyton Place,1957,Best Directing,30th,no
Billy,Wilder,Witness for the Prosecution,1957,Best Directing,30th,no
Vincente,Minnelli,Gigi,1958,Best Directing,31st,yes
Richard,Brooks,Cat on a Hot Tin Roof,1958,Best Directing,31st,no
Stanley,Kramer,The Defiant Ones,1958,Best Directing,31st,no
Mark,Robson,The Inn of the Sixth Happiness,1958,Best Directing,31st,no
Robert,Wise,I Want to Live!,1958,Best Directing,31st,no
William,Wyler,Ben-Hur,1959,Best Directing,32nd,yes
Jack,Clayton,Room at the Top,1959,Best Directing,32nd,no
George,Stevens,The Diary of Anne Frank,1959,Best Directing,32nd,no
Billy,Wilder,Some Like It Hot,1959,Best Directing,32nd,no
Fred,Zinnemann,The Nun's Story,1959,Best Directing,32nd,no
Billy,Wilder,The Apartment,1960,Best Directing,33rd,yes
Jack,Cardiff,Sons and Lovers,1960,Best Directing,33rd,no
Jules,Dassin,Never on Sunday,1960,Best Directing,33rd,no
Alfred,Hitchcock,Psycho,1960,Best Directing,33rd,no
Fred,Zinnemann,The Sundowners,1960,Best Directing,33rd,no
Robert,Wise,West Side Story,1961,Best Directing,34th,yes
Federico,Fellini,La Dolce Vita,1961,Best Directing,34th,no
Stanley,Kramer,Judgment at Nuremberg,1961,Best Directing,34th,no
Robert,Rossen,The Hustler,1961,Best Directing,34th,no
J.,Lee Thompson,The Guns of Navarone,1961,Best Directing,34th,no
David,Lean,Lawrence of Arabia,1962,Best Directing,35th,yes
Pietro,Germi,Divorce Italian Style,1962,Best Directing,35th,no
Robert,Mulligan,To Kill a Mockingbird,1962,Best Directing,35th,no
Arthur,Penn,The Miracle Worker,1962,Best Directing,35th,no
Frank,Perry,David and Lisa,1962,Best Directing,35th,no
Tony,Richardson,Tom Jones,1963,Best Directing,36th,yes
Federico,Fellini,8½,1963,Best Directing,36th,no
Elia,Kazan,America America,1963,Best Directing,36th,no
Otto,Preminger,The Cardinal,1963,Best Directing,36th,no
Martin,Ritt,Hud,1963,Best Directing,36th,no
George,Cukor,My Fair Lady,1964,Best Directing,37th,yes
Michael,Cacoyannis,Zorba the Greek,1964,Best Directing,37th,no
Peter,Glenville,Becket,1964,Best Directing,37th,no
Stanley,Kubrick,Dr. Strangelove,1964,Best Directing,37th,no
Robert,Stevenson,Mary Poppins,1964,Best Directing,37th,no
Robert,Wise,The Sound of Music,1965,Best Directing,38th,yes
David,Lean,Doctor Zhivago,1965,Best Directing,38th,no
John,Schlesinger,Darling,1965,Best Directing,38th,no
Hiroshi,Teshigahara,Woman in the Dunes,1965,Best Directing,38th,no
William,Wyler,The Collector,1965,Best Directing,38th,no
Fred,Zinnemann,A Man for All Seasons,1966,Best Directing,39th,yes
Michelangelo,Antonioni,Blowup,1966,Best Directing,39th,no
Richard,Brooks,The Professionals,1966,Best Directing,39th,no
Claude,Lelouch,A Man and a Woman,1966,Best Directing,39th,no
Mike,Nichols,Who's Afraid of Virginia Woolf?,1966,Best Directing,39th,no
Mike,Nichols,The Graduate,1967,Best Directing,40th,yes
Richard,Brooks,In Cold Blood,1967,Best Directing,40th,no
Norman,Jewison,In the Heat of the Night,1967,Best Directing,40th,no
Stanley,Kramer,Guess Who's Coming to Dinner,1967,Best Directing,40th,no
Arthur,Penn,Bonnie and Clyde,1967,Best Directing,40th,no
