firstName,lastName,movieTitle,releaseYear
Charles,Rosher,Sunrise: A Song of Two Humans,1927
Karl,Struss,Sunrise: A Song of Two Humans,1927
George,Barnes,The Devil Dancer,1927
Clyde,De Vinna,White Shadows in the South Seas,1928
John,F. Seitz,The Divine Lady,1928
Ernest,Palmer,4 Devils,1928
Arthur,Edeson,In Old Arizona,1928
George,Barnes,Our Dancing Daughters,1928
Ernest,Palmer,Street Angel,1928
Joseph,T. Rucker,With Byrd at the South Pole,1929
Willard,Van der Veer,With Byrd at the South Pole,1929
Arthur,Edeson,All Quiet on the Western Front,1929
William,H. Daniels,Anna Christie,1929
Tony,Gaudio,Hell's Angels,1929
Harry,Perry,Hell's Angels,1929
Victor,Milner,The Love Parade,1929
Floyd,Crosby,Tabu: A Story of the South Seas,1930
Edward,Cronjager,Cimarron,1930
Lee,Garmes,Morocco,1930
Charles,Lang,The Right to Love,1930
Barney,McGill,Svengali,1930
Lee,Garmes,Shanghai Express,1931
Ray,June,Arrowsmith,1931
Karl,Struss,Dr. Jekyll and Mr. Hyde,1931
Charles,Lang,A Farewell to Arms,1932
George,Folsey,Reunion in Vienna,1932
Karl,Struss,The Sign of the Cross,1932
Victor,Milner,Cleopatra,1934
Charles,Rosher,The Affairs of Cellini,1934
George,Folsey,Operator 13,1934
Hal,Mohr,A Midsummer Night's Dream,1935
[note,2],A Midsummer Night's Dream,1935
Ray,June,Barbary Coast,1935
Victor,Milner,The Crusades,1935
Gregg,Toland,Les Misérables,1935
Tony,Gaudio,Anthony Adverse,1936
Victor,Milner,The General Died at Dawn,1936
George,Folsey,The Gorgeous Hussy,1936
W.,Howard Greene,The Garden of Allah,1936
Harold,Rosson,The Garden of Allah,1936
Karl,Freund,The Good Earth,1937
Gregg,Toland,Dead End,1937
Joseph,Valentine,Wings over Honolulu,1937
W.,Howard Greene,A Star Is Born,1937
Joseph,Ruttenberg,The Great Waltz,1938
James,Wong Howe,Algiers,1938
Ernest,Miller,Army Girl,1938
Harry,J. Wild,Army Girl,1938
Victor,Milner,The Buccaneer,1938
Ernest,Haller,Jezebel,1938
Joseph,Valentine,Mad About Music,1938
Norbert,Brodine,Merrily We Live,1938
J.,Peverell Marley,Suez,1938
Robert,De Grasse,Vivacious Lady,1938
Joseph,Walker,You Can't Take It with You,1938
Leon,Shamroy,The Young in Heart,1938
Oliver,T. Marsh,Sweethearts,1938
Allen,Davey,Sweethearts,1938
Gregg,Toland,Wuthering Heights,1939
Bert,Glennon,Stagecoach,1939
Ernest,Haller,Gone with the Wind,1939
Ray,Rennahan,Gone with the Wind,1939
Sol,Polito,The Private Lives of Elizabeth and Essex,1939
W.,Howard Greene,The Private Lives of Elizabeth and Essex,1939
George,Barnes,Rebecca,1940
James,Wong Howe,Abe Lincoln in Illinois,1940
Ernest,Haller,"All This, and Heaven Too",1940
Charles,Lang,"Arise, My Love",1940
Harold,Rosson,Boom Town,1940
Rudolph,Maté,Foreign Correspondent,1940
Tony,Gaudio,The Letter,1940
Gregg,Toland,The Long Voyage Home,1940
Joseph,Valentine,Spring Parade,1940
Joseph,Ruttenberg,Waterloo Bridge,1940
