firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Walter,Pidgeon,Madame Curie,1943,Best Actor in a Leading Role,16th,no
Mickey,Rooney,The Human Comedy,1943,Best Actor in a Leading Role,16th,no
Bing,Crosby,Going My Way,1944,Best Actor in a Leading Role,17th,yes
Charles,Boyer,Gaslight,1944,Best Actor in a Leading Role,17th,no
Barry,Fitzgerald,Going My Way,1944,Best Actor in a Leading Role,17th,no
Cary,Grant,None but the Lonely Heart,1944,Best Actor in a Leading Role,17th,no
Alexander,Knox,Wilson,1944,Best Actor in a Leading Role,17th,no
Ray,Milland,The Lost Weekend,1945,Best Actor in a Leading Role,18th,yes
Bing,Crosby,The Bells of St. Mary's,1945,Best Actor in a Leading Role,18th,no
Gene,Kelly,Anchors Aweigh,1945,Best Actor in a Leading Role,18th,no
Gregory,Peck,The Keys of the Kingdom,1945,Best Actor in a Leading Role,18th,no
Cornel,Wilde,A Song to Remember,1945,Best Actor in a Leading Role,18th,no
Fredric,March,The Best Years of Our Lives,1946,Best Actor in a Leading Role,19th,yes
Laurence,Olivier,Henry V,1946,Best Actor in a Leading Role,19th,no
Larry,Parks,The Jolson Story,1946,Best Actor in a Leading Role,19th,no
Gregory,Peck,The Yearling,1946,Best Actor in a Leading Role,19th,no
James,Stewart,It's a Wonderful Life,1946,Best Actor in a Leading Role,19th,no
Ronald,Colman,A Double Life,1947,Best Actor in a Leading Role,20th,yes
John,Garfield,Body and Soul,1947,Best Actor in a Leading Role,20th,no
Gregory,Peck,Gentleman's Agreement,1947,Best Actor in a Leading Role,20th,no
William,Powell,Life with Father,1947,Best Actor in a Leading Role,20th,no
Michael,Redgrave,Mourning Becomes Electra,1947,Best Actor in a Leading Role,20th,no
Laurence,Olivier,Hamlet,1948,Best Actor in a Leading Role,21st,yes
Lew,Ayres,Johnny Belinda,1948,Best Actor in a Leading Role,21st,no
Montgomery,Clift,The Search,1948,Best Actor in a Leading Role,21st,no
Dan,Dailey,When My Baby Smiles at Me,1948,Best Actor in a Leading Role,21st,no
Clifton,Webb,Sitting Pretty,1948,Best Actor in a Leading Role,21st,no
Broderick,Crawford,All the King's Men,1949,Best Actor in a Leading Role,22nd,yes
Kirk,Douglas,Champion,1949,Best Actor in a Leading Role,22nd,no
Gregory,Peck,Twelve O'Clock High,1949,Best Actor in a Leading Role,22nd,no
Richard,Todd,The Hasty Heart,1949,Best Actor in a Leading Role,22nd,no
John,Wayne,Sands of Iwo Jima,1949,Best Actor in a Leading Role,22nd,no
José,Ferrer,Cyrano de Bergerac,1950,Best Actor in a Leading Role,23rd,yes
Louis,Calhern,The Magnificent Yankee,1950,Best Actor in a Leading Role,23rd,no
William,Holden,Sunset Boulevard,1950,Best Actor in a Leading Role,23rd,no
James,Stewart,Harvey,1950,Best Actor in a Leading Role,23rd,no
